1,317,1,100,1,317
2,397,2,200,1,714
3,497,2,300,1,1211
4,622,3,400,1,1833
5,778,3,500,1,2611
6,973,4,600,1,3584
7,1217,4,700,1,4801
8,1522,5,800,1,6323
9,1903,5,900,1,8226
10,2379,6,1000,1,10605
11,2427,6,1100,1,13032
12,2476,7,1200,1,15508
13,2526,7,1300,1,18034
14,2577,8,1400,1,20611
15,2629,8,1500,1,23240
16,2682,9,1600,1,25922
17,2736,9,1700,1,28658
18,2791,10,1800,1,31449
19,2847,10,1900,1,34296
20,2904,11,2000,1,37200
21,3020,11,2100,1,40220
22,3140,12,2200,1,43360
23,3265,12,2300,1,46625
24,3395,13,2400,1,50020
25,3530,13,2500,1,53550
26,3671,14,2600,1,57221
27,3817,14,2700,1,61038
28,3969,15,2800,1,65007
29,4127,15,2900,1,69134
30,4292,16,3000,1,73426
31,4463,16,3100,1,77889
32,4641,17,3200,1,82530
33,4826,17,3300,1,87356
34,5019,18,3400,1,92375
35,5219,18,3500,1,97594
36,5427,19,3600,1,103021
37,5644,19,3700,1,108665
38,5869,20,3800,1,114534
39,6103,20,3900,1,120637
40,6347,21,4000,1,126984
41,6664,21,4100,1,133648
42,6997,22,4200,1,140645
43,7346,22,4300,1,147991
44,7713,23,4400,1,155704
45,8098,23,4500,1,163802
46,8502,24,4600,1,172304
47,8927,24,4700,1,181231
48,9373,25,4800,1,190604
49,9841,25,4900,1,200445
50,10333,26,5000,1,210778
51,10952,26,5100,1,221730
52,11609,27,5200,1,233339
53,12305,27,5300,1,245644
54,13043,28,5400,1,258687
55,13825,28,5500,1,272512
56,14654,29,5600,1,287166
57,15533,29,5700,1,302699
58,16464,30,5800,1,319163
59,17451,30,5900,1,336614
60,18498,31,6000,1,355112
61,19607,31,6100,1,374719
62,20783,32,6200,1,395502
63,22029,32,6300,1,417531
64,23350,33,6400,1,440881
65,24751,33,6500,1,465632
66,26236,34,6600,1,491868
67,27810,34,6700,1,519678
68,29478,35,6800,1,549156
69,31246,35,6900,1,580402
70,33120,36,7000,1,613522
71,35107,36,7100,1,648629
72,37213,37,7200,1,685842
73,39445,37,7300,1,725287
74,41811,38,7400,1,767098
75,44319,38,7500,1,811417
76,46978,39,7600,1,858395
77,49796,39,7700,1,908191
78,52783,40,7800,1,960974
79,55949,40,7900,1,1016923
80,59305,41,8000,1,1076228
81,62863,41,8100,1,1139091
82,66634,42,8200,1,1205725
83,70632,42,8300,1,1276357
84,74869,43,8400,1,1351226
85,79361,43,8500,1,1430587
86,84122,44,8600,1,1514709
87,89169,44,8700,1,1603878
88,94519,45,8800,1,1698397
89,100190,45,8900,1,1798587
90,106201,46,9000,1,1904788
91,112573,46,9100,1,2017361
92,119327,47,9200,1,2136688
93,126486,47,9300,1,2263174
94,134075,48,9400,1,2397249
95,142119,48,9500,1,2539368
96,150646,49,9600,1,2690014
97,159684,49,9700,1,2849698
98,169265,50,9800,1,3018963
99,179420,55,9900,1,3198383
100,10000000,55,10000,1,13198383
